,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,91,92,93,94,95,96,97,98,99,100,101,102,103,106,107,108,109,110,111,112,113,114,115,116,120
IDENTIFICACIÓN DEL AUTORIZADO ,,,ESTADO FÍSICO FUSTE ESPECIFICO,,,,,,,,,,,,,,,,,,,ESTADO FÍSICO FUSTE GENERAL,ESTADO FÍSICO RAÍZ ESPECIFICO,ESTADO FÍSICO RAÍZ GENERAL,ESTADO SANITARIO ESPECIFICO COPA,,,,,,,,,,,,,,,ESTADO SANITARIO ESPECIFICO FUSTE,,,,,,,ESTADO SANITARIO ESPECIFICO RAIZ,ESTADO SANITARIO GENERAL,ESTADO SANITARIO GENERAL COPA,ESTADO SANITARIO GENERAL FUSTE,ESTADO SANITARIO GENERAL RAÍZ,Interferencia con líneas de servicios,,,,Causas de intervención de la poda,,,,,,,,,Tipo de poda ,Intensidad de la poda,Concepto Técnico,,,,,,,,,Residuos generados (kg)
Entidad ,NIT,,B,Bb,BB,FR,I,MI,To,C,Rv,Ac,An,Dc,SB,Ag,Poe,Pe,DM-L,DM-M,DM-G,,,,He,An,Ag,Ne,Tu,Cl,Ma,Ca,PL,Mi,C,Ro,Psu,PI,NA,Ch,Plf,Go,Tu,Ag,PI,NA,,,,,,Luminarias,Alta tensión,Media Tensión,Subterráneas,Corteza incluida,Grietas,Excesivos rebrotes,Pudriciones,Ramas rotas o muertas,Copa asimétrica,Ramas sobreextendidas,Ramas pendulares,Raíces extranguladoras,,%,Inclinación severa hacia estructuras,Problemas de seguridad en la zona,Minimizar riesgo de volcamiento,Mantenimiento de individuos jóvenes,Disminuir competencia con otros individuos arbóreos,Mantenimiento de arbolado adulto,Despeje de cono luminico,Liberación de infraestructura urbana y movilidad,Despeje sistema circulación urbana,
OTRO,901145808-5,19187,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,130
OTRO,901145808-5,19188,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,Realce,20%,,1,,,,,,,,120
OTRO,901145808-5,19189,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,140
OTRO,901145808-5,19190,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,120
OTRO,901145808-5,19191,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,130
OTRO,901145808-5,19192,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,1,,,,,,,,1,Ninguna de las anteriores,Regular,Regular,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19193,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,120
OTRO,901145808-5,19194,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,130
